NEGERI,PPD,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY
PAHANG,PPD BENTONG,SMK,CEA0059,SEKOLAH MENENGAH KEBANGSAAN KARAK SETIA,KAMPONG KARAK SETIA,28600,KARAK,092311078,092311006,CEA0059@moe.edu.my,Luar Bandar,186,25,TIADA,ADA,102.0529257,3.426650678
PAHANG,PPD BENTONG,SMK,CEA0060,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,FELDA CHEMOMOI,28310,TRIANG,092458393,092457352,CEA0060@moe.edu.my,Luar Bandar,357,35,TIADA,ADA,102.2449533,3.246532871
PAHANG,PPD BENTONG,SMK,CEA0061,SEKOLAH MENENGAH KEBANGSAAN SRI LAYANG,GENTING HIGHLAND,69000,BENTONG,0361001291,0361001291,CEA0061@moe.edu.my,Luar Bandar,84,16,TIADA,ADA,101.775198,3.388849
PAHANG,PPD CAMERON HIGHLANDS,SMK,CEA1001,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG RAJA,JALAN BESAR KAMPUNG RAJA,39010,TANAH RATA,054981971,054981971,CEA1001@moe.edu.my,Bandar,518,53,ADA,ADA,101.4076778,4.564019444
PAHANG,PPD CAMERON HIGHLANDS,SMK,CEA1002,SEKOLAH MENENGAH KEBANGSAAN RINGLET,JALAN BESAR RINGLET,39200,TANAH RATA,054956620,054956621,CEA1002@moe.edu.my,Bandar,589,58,ADA,ADA,101.3841623,4.425999258
PAHANG,PPD JERANTUT,SMK,CEA2029,SEKOLAH MENENGAH KEBANGSAAN PULAU TAWAR,KAMPUNG PULAU TAWAR,27050,JERANTUT,092671171,092661059,CEA2029@moe.edu.my,Luar Bandar,290,37,ADA,ADA,102.4342741,3.877567305
PAHANG,PPD JERANTUT,SMK,CEA2030,SEKOLAH MENENGAH KEBANGSAAN KUALA TEMBELING,KUALA TEMBELING,27020,JERANTUT,093086133,093086244,CEA2030@moe.edu.my,Luar Bandar,92,23,ADA,ADA,102.3201591,4.067481687
PAHANG,PPD JERANTUT,SMK,CEA2045,SEKOLAH MENENGAH KEBANGSAAN PADANG PIOL,FELDA PADANG PIOL,27040,JERANTUT,092668337,092668113,CEA2045@moe.edu.my,Luar Bandar,273,34,TIADA,ADA,102.3796277,4.032769045
PAHANG,PPD JERANTUT,SMK,CEA2046,SEKOLAH MENENGAH KEBANGSAAN PADANG SAUJANA,JALAN PEJABAT KERAJAAN,27000,JERANTUT,092601310,092601311,CEA2046@moe.edu.my,Bandar,792,85,TIADA,ADA,102.361943,3.925574
PAHANG,PPD JERANTUT,SMK,CEA2047,SEKOLAH MENENGAH KEBANGSAAN DAMAK,KAMPUNG DAMAK,27030,JERANTUT,092681700,092681211,CEA2047@moe.edu.my,Luar Bandar,434,52,ADA,ADA,102.222,3.94894
PAHANG,PPD JERANTUT,SMK,CEA2048,SEKOLAH MENENGAH KEBANGSAAN TEMIN,KM.5 JALAN TEMERLOH,27000,JERANTUT,092662722,092667722,CEA2048@moe.edu.my,Luar Bandar,585,81,TIADA,ADA,102.3860608,3.918982786
PAHANG,PPD JERANTUT,SMK,CEA2049,SEKOLAH MENENGAH KEBANGSAAN KOTA GELANGGI 2,(LKTP) KOTA GELANGGI 02,27000,JERANTUT,094811592,094812785,CEA2049@moe.edu.my,Luar Bandar,318,42,ADA,ADA,102.6012749,3.92064277
PAHANG,PPD JERANTUT,SMK,CEA2050,SEKOLAH MENENGAH KEBANGSAAN JUBLI PERAK SULTAN HAJI AHMAD SHAH,KUALA TAHAN,27000,JERANTUT,092601130,092601132,CEA2050@moe.edu.my,Luar Bandar,232,38,ADA,ADA,102.4040766,4.358045664
PAHANG,PPD JERANTUT,SMK,CEA2051,SEKOLAH MENENGAH KEBANGSAAN P. PENYELIDIKAN PERTANIAN TUN RAZAK,PUSAT PENYELIDIKAN PERTANIAN TUN RAZAK,27000,JERANTUT,094718605,094719200,CEA2051@moe.edu.my,Luar Bandar,575,62,TIADA,ADA,102.522,3.88275
PAHANG,PPD JERANTUT,SMK,CEA2052,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RETANG,FELDA SUNGAI RETANG,27000,JERANTUT,093132050,093132094,CEA2052@moe.edu.my,Luar Bandar,207,28,TIADA,ADA,102.386256,4.132485064
PAHANG,PPD JERANTUT,SMK,CEA2053,SEKOLAH MENENGAH KEBANGSAAN INDERAPURA,KM1 JALAN BENTA,27000,JERANTUT,092601261,092601264,CEA2053@moe.edu.my,Bandar,469,52,ADA,ADA,102.3526337,3.918593674
PAHANG,PPD JERANTUT,SMK,CEA2054,SEKOLAH MENENGAH KEBANGSAAN JENGKA 24,FELDA JENGKA 24,26400,"BANDAR TUN ABDUL RAZAK, J",094863877,094864191,CEA2054@moe.edu.my,Luar Bandar,98,25,TIADA,ADA,102.4415774,3.782711213
PAHANG,PPD LIPIS,SMK,CEA3034,SEKOLAH MENENGAH KEBANGSAAN ORANG KAYA HAJI,JALAN TOK KAYA SENTUL,27200,KUALA LIPIS,093121211,093101141,CEA3034@moe.edu.my,Luar Bandar,366,49,ADA,ADA,102.045,4.17792
PAHANG,PPD LIPIS,SMK,CEA3035,SEKOLAH MENENGAH KEBANGSAAN PADANG TENGKU,PADANG TENGKU,27100,KUALA LIPIS,093293111,093293112,CEA3035@moe.edu.my,Luar Bandar,665,66,ADA,ADA,101.991,4.23619
PAHANG,PPD LIPIS,SMK,CEA3036,SEKOLAH MENENGAH KEBANGSAAN BENTA,BENTA,27300,BENTA,093238108,093238108,CEA3036@moe.edu.my,Luar Bandar,308,40,ADA,ADA,101.973,4.02007
PAHANG,PPD LIPIS,SMK,CEA3055,SEKOLAH MENENGAH KEBANGSAAN (FELDA) SG KOYAN,FELDA SG KOYAN 3,27650,RAUB,093401433,093403011,CEA3055@moe.edu.my,Luar Bandar,768,71,ADA,ADA,101.806,4.23013
PAHANG,PPD LIPIS,SMK,CEA3056,SEKOLAH MENENGAH KEBANGSAAN MERAPOH,MERAPOH,27210,KUALA LIPIS,099124622,099121578,CEA3056@moe.edu.my,Luar Bandar,365,54,ADA,ADA,102.005,4.69875
PAHANG,PPD LIPIS,SMK,CEA3057,SEKOLAH MENENGAH KEBANGSAAN SERI LIPIS,KM8 JALAN LIPIS PADANG TENGKU,27200,KUALA LIPIS,093101321,093101320,CEA3057@moe.edu.my,Luar Bandar,139,54,TIADA,ADA,102.01,4.17064
PAHANG,PPD LIPIS,SMK,CEA3058,SEKOLAH MENENGAH KEBANGSAAN KERAMBIT,KERAMBIT,27200,KUALA LIPIS,093101251,093101252,CEA3058@moe.edu.my,Luar Bandar,212,33,ADA,ADA,102.211,4.11813
PAHANG,PPD LIPIS,SMK,CEA3059,SEKOLAH MENENGAH KEBANGSAAN KUALA LANAR,KG. KUALA LANAR,27200,KUALA LIPIS,093101112,093101110,CEA3059@moe.edu.my,Luar Bandar,384,44,TIADA,ADA,102.101372,4.174355
PAHANG,PPD KUANTAN,SMK,CEA4022,SEKOLAH MENENGAH KEBANGSAAN ABDUL RAHMAN TALIB,JALAN ALOR AKAR,25250,KUANTAN,095602244,095679250,CEA4022@moe.edu.my,Bandar,806,102,TIADA,ADA,103.34107,3.82416
PAHANG,PPD KUANTAN,SMK,CEA4023,SEKOLAH MENENGAH KEBANGSAAN ALOR AKAR,JALAN TENGKU MUHAMAD,25050,KUANTAN,095666746,095672766,CEA4023@moe.edu.my,Bandar,685,69,ADA,ADA,103.35304,3.82705
PAHANG,PPD KUANTAN,SMK,CEA4024,SEKOLAH MENENGAH KEBANGSAAN BESERAH,KM 10  JALAN KEMAMAN,26100,KUANTAN,095447439,095447458,CEA4024@moe.edu.my,Bandar,1026,97,ADA,ADA,103.36583,3.87787
PAHANG,PPD KUANTAN,SMK,CEA4026,SEKOLAH MENENGAH KEBANGSAAN PAYA BESAR,KM 7 JLN.GAMBANG,25150,KUANTAN,095365509,095362076,CEA4026@moe.edu.my,Bandar,846,81,ADA,ADA,103.27562,3.77617
PAHANG,PPD KUANTAN,SMK,CEA4071,SEKOLAH MENENGAH KEBANGSAAN BUKIT GOH,FELDA BUKIT GOH,26050,KUANTAN,095478932,095477506,CEA4071@moe.edu.my,Bandar,1030,81,ADA,ADA,103.25766,3.91368
PAHANG,PPD KUANTAN,SMK,CEA4073,SEKOLAH MENENGAH KEBANGSAAN SERI PANCHING,"KM 5, JALAN PANCHING",26010,KUANTAN,095421080,095421732,CEA4073@moe.edu.my,Luar Bandar,494,43,TIADA,ADA,103.17257,3.79433
PAHANG,PPD KUANTAN,SMK,CEA4074,SEKOLAH MENENGAH KEBANGSAAN TANJONG LUMPUR,KEMPADANG,25150,KUANTAN,095341416,095341689,CEA4074@moe.edu.my,Bandar,1077,80,ADA,ADA,103.318339,3.764567
PAHANG,PPD KUANTAN,SMK,CEA4075,SEKOLAH MENENGAH KEBANGSAAN TG PANGLIMA PERANG TG MUHAMMAD,BANDAR INDERA MAHKOTA,25200,KUANTAN,095732868,095739726,CEA4075@moe.edu.my,Bandar,1281,114,ADA,ADA,103.2936931,3.8216927
PAHANG,PPD KUANTAN,SMK,CEA4076,SEKOLAH MENENGAH KEBANGSAAN LEPAR HILIR,JALAN LEPAR  1 GAMBANG,26300,KUANTAN,01165732313,TIADA,CEA4076@moe.edu.my,Luar Bandar,530,45,ADA,ADA,103.08242,3.64892
PAHANG,PPD JERANTUT,SMK,CEA4077,SEKOLAH MENENGAH KEBANGSAAN LEPAR UTARA,BANDAR JENGKA,26400,BANDAR JENGKA,094741582,094741999,CEA4077@moe.edu.my,Luar Bandar,292,44,ADA,ADA,102.7955111,3.904375
PAHANG,PPD KUANTAN,SMK,CEA4078,SEKOLAH MENENGAH KEBANGSAAN PANDAN,"KM 12, JALAN GAMBANG",25150,KUANTAN,095384944,095394792,CEA4078@moe.edu.my,Bandar,883,71,ADA,ADA,103.23807,3.78274
PAHANG,PPD KUANTAN,SMK,CEA4079,SEKOLAH MENENGAH KEBANGSAAN TOK SERA,JLN TG MUHAMAD,25050,KUANTAN,095686810,095601011,cea4079@moe.edu.my,Bandar,455,70,TIADA,ADA,103.36775,3.8193
PAHANG,PPD KUANTAN,SMK,CEA4080,SEKOLAH MENENGAH KEBANGSAAN INDERA MAHKOTA 2,JALAN SULTAN ABU BAKAR,25200,KUANTAN,095735014,095737010,CEA4080@moe.edu.my,Bandar,864,62,ADA,ADA,103.269918,3.8337357
PAHANG,PPD KUANTAN,SMK,CEA4081,SEKOLAH MENENGAH KEBANGSAAN BUKIT RANGIN,BUKIT RANGIN,25150,KUANTAN,095366235,095361457,CEA4081@moe.edu.my,Bandar,812,72,TIADA,ADA,103.27158,3.80216
PAHANG,PPD KUANTAN,SMK,CEA4082,SEKOLAH MENENGAH KEBANGSAAN GUDANG RASAU,"KM9,JALAN GAMBANG",25150,KUANTAN,095362121,095362122,CEA4082@moe.edu.my,Bandar,768,73,ADA,ADA,103.25573,3.76706
PAHANG,PPD KUANTAN,SMK,CEA4083,SEKOLAH MENENGAH KEBANGSAAN PELABUHAN,"TAMAN BALOK MAKMUR, GEBENG",26100,KUANTAN,095801320,095801321,CEA4083@moe.edu.my,Luar Bandar,1072,82,TIADA,ADA,103.38269,3.95841
PAHANG,PPD KUANTAN,SMK,CEA4084,SEKOLAH MENENGAH KEBANGSAAN SEMAMBU,DEPAN QTRS LOJI AIR SEMAMBU,25350,KUANTAN,095689867,095689341,CEA4084@moe.edu.my,Bandar,618,67,ADA,ADA,103.32768,3.87001
PAHANG,PPD KUANTAN,SMK,CEA4085,SEKOLAH MENENGAH KEBANGSAAN SERI DAMAI,"KG. SERI DAMAI, KM 12 JLN GAMBANG",25150,KUANTAN,095397372,095398240,CEA4085@moe.edu.my,Bandar,864,67,ADA,ADA,103.2266,3.75839
PAHANG,PPD KUANTAN,SMK,CEA4086,SEKOLAH MENENGAH KEBANGSAAN SULTANAH HAJJAH KALSOM,BANDAR DAMANSARA,26100,KUANTAN,095602777,095671620,CEA4086@moe.edu.my,Bandar,592,60,TIADA,ADA,103.33584,3.897
PAHANG,PPD KUANTAN,SMK,CEA4087,SEKOLAH MENENGAH KEBANGSAAN SUNGAI ISAP,PERMATANG BADAK,25150,KUANTAN,095363766,095365336,CEA4087@moe.edu.my,Bandar,753,65,ADA,ADA,103.26979,3.7972
PAHANG,PPD KUANTAN,SMK,CEA4088,SEKOLAH MENENGAH KEBANGSAAN ASTANA,JALAN  SUNGAI LEMBING,25200,KUANTAN,095721522,095721520,CEA4088@moe.edu.my,Bandar,201,64,TIADA,ADA,103.2767,3.84754
PAHANG,PPD KUANTAN,SMK,CEA4089,SEKOLAH MENENGAH KEBANGSAAN SUNGAI SOI,JALAN PANTAI SEPAT,25150,KUANTAN,095341837,095341833,CEA4089@moe.edu.my,Bandar,979,74,TIADA,ADA,103.31803,3.73216
PAHANG,PPD KUANTAN,SMK,CEA4090,SEKOLAH MENENGAH KEBANGSAAN CENDERAWASIH,BANDAR INDERA MAHKOTA,25200,KUANTAN,095721022,095721020,CEA4090@moe.edu.my,Bandar,1276,84,TIADA,ADA,103.2963377,3.8128931
PAHANG,PPD KUANTAN,SMK,CEA4091,SEKOLAH MENENGAH KEBANGSAAN SUNGAI BAGING,KM 36 JALAN KEMAMAN,26080,KUANTAN,095818111,095818112,CEA4091@moe.edu.my,Luar Bandar,863,67,ADA,ADA,103.38101,4.08041
PAHANG,PPD KUANTAN,SMK,CEA4092,SEKOLAH MENENGAH KEBANGSAAN MAT KILAU,JALAN KUANTAN PEKAN,25150,KUANTAN,095341088,095341090,CEA4092@moe.edu.my,Bandar,1275,82,TIADA,ADA,103.2600904,3.7495809
PAHANG,PPD KUANTAN,SMK,CEA4093,SEKOLAH MENENGAH KEBANGSAAN TELUK CHEMPEDAK,TELUK CHEMPEDAK,25050,KUANTAN,095601842,095601840,CEA4093@moe.edu.my,Bandar,377,40,TIADA,ADA,103.35949,3.81737
PAHANG,PPD KUANTAN,SMK,CEA4094,SEKOLAH MENENGAH KEBANGSAAN PELINDUNG,"JALAN KG. PELINDUNG 5, BESERAH",26100,KUANTAN,095608026,095608028,CEA4094@moe.edu.my,Bandar,781,62,TIADA,ADA,103.36885,3.84196
PAHANG,PPD KUANTAN,SMK,CEA4095,SEKOLAH MENENGAH KEBANGSAAN GAMBANG,JALAN GAMBANG,26300,KUANTAN,01165730966,095460053,CEA4095@moe.edu.my,Bandar,349,32,ADA,ADA,103.13642,3.72366
PAHANG,PPD KUANTAN,SMK,CEA4096,SEKOLAH MENENGAH KEBANGSAAN PADANG GARUDA,JALAN LAPANGAN TERBANG SHAH KAMPUNG PANDAN 1,26070,KUANTAN,095381016,095381017,CEA4096@moe.edu.my,Bandar,419,66,TIADA,ADA,103.212953,3.79174
PAHANG,PPD KUANTAN,SMK,CEA4097,SEKOLAH MENENGAH KEBANGSAAN BUKIT SAGU,FELDA BUKIT SAGU,25740,KUANTAN,095476196,095476199,CEA4097@moe.edu.my,Luar Bandar,301,32,ADA,ADA,103.19212,3.95946
PAHANG,PPD KUANTAN,SMK,CEA4098,SEKOLAH MENENGAH KEBANGSAAN SUNGAI ISAP MURNI,PERKAMPUNGAN SUNGAI ISAP MURNI,25150,KUANTAN,095361493,095361537,CEA4098@moe.edu.my,Bandar,616,60,ADA,ADA,103.2851368,3.7896681
PAHANG,PPD KUANTAN,SUKAN,CEA4099,SEKOLAH SUKAN MALAYSIA PAHANG,JALAN BANDAR GAMBANG 10,26300,GAMBANG,095497000,095497001,CEA4099@moe.edu.my,Bandar,344,76,TIADA,ADA,103.113583,3.7172
PAHANG,PPD KUANTAN,SMK,CEA4100,SEKOLAH MENENGAH KEBANGSAAN CHENGAL LEMPONG,"LORONG BALOK PERMAI 15, KG BALOK BARU",26080,KUANTAN,095801083,095801066,CEA4100@moe.edu.my,Luar Bandar,724,48,ADA,ADA,103.362404,3.931599
PAHANG,PPD PEKAN,SMK,CEA5053,SEKOLAH MENENGAH KEBANGSAAN DATO' MAHMUD MAT,TANAH PUTEH,26600,PEKAN,094269145,094264171,CEA5053@moe.edu.my,Luar Bandar,827,74,ADA,ADA,103.374,3.58292
PAHANG,PPD PEKAN,SMK,CEA5054,SEKOLAH MENENGAH KEBANGSAAN TENGKU ABDULLAH,JALAN HAJI MONTOK,26600,PEKAN,094221261,094227546,CEA5054@moe.edu.my,Bandar,934,108,ADA,ADA,103.3964246,3.487280374
PAHANG,PPD PEKAN,SMK,CEA5056,SEKOLAH MENENGAH KEBANGSAAN PALOH HINAI,PALOH HINAI,26650,PEKAN,094291235,094291103,CEA5056@moe.edu.my,Luar Bandar,549,57,ADA,ADA,103.0916555,3.487339921
PAHANG,PPD PEKAN,SMK,CEA5061,SEKOLAH MENENGAH KEBANGSAAN (LKTP) CHINI,FELDA CHINI 2,26690,CHINI,094566163,094565133,CEA5061@moe.edu.my,Luar Bandar,428,58,ADA,ADA,102.948059,3.382275767
PAHANG,PPD PEKAN,SMK,CEA5071,SEKOLAH MENENGAH KEBANGSAAN NENASI,KG.NENASI,26680,PEKAN,094181080,094181549,CEA5071@moe.edu.my,Luar Bandar,614,53,ADA,ADA,103.438,3.14072
PAHANG,PPD PEKAN,SBP,CEA5072,SEKOLAH SULTAN HAJI AHMAD SHAH,JALAN SULTAN ABU BAKAR,26600,PEKAN,094224616,094225453,CEA5072@moe.edu.my,Bandar,596,63,TIADA,ADA,103.3802145,3.498038172
PAHANG,PPD PEKAN,SMK,CEA5073,SEKOLAH MENENGAH KEBANGSAAN CHINI TIMUR,FELDA CHINI TIMUR 2,26690,CHINI,094571559,094571921,CEA5073@moe.edu.my,Luar Bandar,290,36,TIADA,ADA,103.0160655,3.323319417
PAHANG,PPD PEKAN,MODEL KHAS,CEA5074,SEKOLAH MENENGAH KEBANGSAAN SERI PEKAN,BANDAR BARU PERAMU,26600,PEKAN,094264221,094264220,CEA5074@moe.edu.my,Bandar,551,55,TIADA,ADA,103.393,3.54293
PAHANG,PPD PEKAN,SMK,CEA5075,SEKOLAH MENENGAH KEBANGSAAN INDERA SHAHBANDAR,KUALA PAHANG,26660,PEKAN,094251261,094251260,CEA5075@moe.edu.my,Bandar,438,47,ADA,ADA,103.4329711,3.549834325
PAHANG,PPD PEKAN,SMK,CEA5076,SEKOLAH MENENGAH KEBANGSAAN PEKAN,KM. 3.5 JALAN PEKAN - NENASI,26600,PEKAN,TIADA,094227695,CEA5076@moe.edu.my,Bandar,576,57,ADA,ADA,103.415909,3.484121474
PAHANG,PPD PEKAN,SMK,CEA5077,SEKOLAH MENENGAH KEBANGSAAN UBAI,KAMPUNG UBAI,26610,PEKAN,094264605,094260043,CEA5077@moe.edu.my,Luar Bandar,280,32,TIADA,ADA,103.3235194,3.605438889
PAHANG,PPD PEKAN,SMK,CEA5078,SEKOLAH MENENGAH KEBANGSAAN LEPAR,KM 43.5 LEBUH RAYA TUN ABDUL RAZAK,26300,GAMBANG,0199322392,,CEA5078@moe.edu.my,Luar Bandar,515,42,TIADA,ADA,103.0978964,3.561567797
PAHANG,PPD PEKAN,SMK,CEA5079,SEKOLAH MENENGAH KEBANGSAAN PERAMU JAYA,PERAMU JAYA,26600,PEKAN,094101310,094101311,CEA5079@moe.edu.my,Bandar,459,47,ADA,ADA,103.397,3.51799
PAHANG,PPD PEKAN,SMK,CEA5080,SEKOLAH MENENGAH KEBANGSAAN CHINI 2,PUSAT PENTADBIRAN DARA,26690,CHINI,094565628,094568830,CEA5080@moe.edu.my,Luar Bandar,405,36,ADA,ADA,102.9498103,3.377569956
PAHANG,PPD RAUB,SBP,CEA6021,SEKOLAH MENENGAH SAINS TENGKU ABDULLAH,"KM 6, JALAN LIPIS",27600,RAUB,093551600,093553511,CEA6021@moe.edu.my,Bandar,620,56,TIADA,ADA,101.89513,3.82815
PAHANG,PPD RAUB,SMK,CEA6022,SEKOLAH MENENGAH KEBANGSAAN TENGKU KUDIN,JALAN CHEROH,27600,RAUB,093551185,093561289,CEA6022@moe.edu.my,Bandar,621,77,ADA,ADA,101.8505,3.80205
PAHANG,PPD RAUB,SMK,CEA6023,SEKOLAH MENENGAH KEBANGSAAN DONG,"KM 16, JALAN LIPIS, KAMPUNG  DONG",27400,RAUB,093658225,093659748,CEA6023@moe.edu.my,Luar Bandar,479,60,TIADA,ADA,101.89697,3.90387
PAHANG,PPD RAUB,SMK,CEA6024,SEKOLAH MENENGAH KEBANGSAAN LKTP TERSANG,FELDA TERSANG 2,27610,RAUB,093403931,093403930,CEA6024@moe.edu.my,Luar Bandar,331,61,ADA,ADA,101.79901,4.07013
PAHANG,PPD RAUB,SMK,CEA6025,SEKOLAH MENENGAH KEBANGSAAN SERI RAUB,JALAN SIMPANG KALLANG,27600,RAUB,093501111,093501110,CEA6025@moe.edu.my,Bandar,497,58,TIADA,ADA,101.87272,3.81168
PAHANG,PPD RAUB,SMK,CEA6026,SEKOLAH MENENGAH KEBANGSAAN GALI,KM 9 JALAN KUALA LIPIS,27600,RAUB,093651108,TIADA,CEA6026@moe.edu.my,Luar Bandar,228,31,ADA,ADA,101.90433,3.90143
PAHANG,PPD RAUB,SMK,CEA6027,SEKOLAH MENENGAH KEBANGSAAN SEGA,LOT 4461 & 4462 MUKIM SEGA,27660,RAUB,093657115,093657118,CEA6027@moe.edu.my,Luar Bandar,191,23,TIADA,ADA,101.9220989,4.0299985
PAHANG,PPD TEMERLOH,SMK,CEA7060,SEKOLAH MENENGAH KEBANGSAAN KERDAU,"KM 18, JALAN TEMERLOH JERANTUT",28010,TEMERLOH,092846044,092847671,CEA7060@moe.edu.my,Luar Bandar,524,42,TIADA,ADA,102.384,3.57646
PAHANG,PPD TEMERLOH,SMK,CEA7063,SEKOLAH MENENGAH KEBANGSAAN TEMERLOH,JALAN MENTAKAB,28000,TEMERLOH,092961316,092967316,CEA7063@moe.edu.my,Bandar,748,107,TIADA,ADA,102.4108064,3.455088055
PAHANG,PPD TEMERLOH,SMK,CEA7064,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAU,"KUALA KRAU,JALAN JERANTUT",28050,KUALA KRAU,092861225,092862780,CEA7064@moe.edu.my,Luar Bandar,1142,88,ADA,ADA,102.3682081,3.705913975
PAHANG,PPD TEMERLOH,SMK,CEA7065,SEKOLAH MENENGAH KEBANGSAAN DATUK BAHAMAN,LANCHANG,28500,LANCHANG,092803252,092803933,CEA7065@moe.edu.my,Luar Bandar,405,62,TIADA,ADA,102.184,3.50089
PAHANG,PPD TEMERLOH,SMK,CEA7066,SEKOLAH MENENGAH KEBANGSAAN SERI SEMANTAN,BATU 2 1/2 JALAN KARAK,28400,MENTAKAB,092776408,092777552,CEA7066@moe.edu.my,Bandar,717,67,TIADA,ADA,102.32,3.4825
PAHANG,PPD TEMERLOH,MODEL KHAS,CEA7067,SEKOLAH MENENGAH KEBANGSAAN SERI TUALANG,KM 125 JLN PINTASAN TEMERLOH/MENTAKAB,28000,TEMERLOH,092901061,092901060,CEA7067@moe.edu.my,Bandar,599,68,TIADA,ADA,102.399739,3.422019
PAHANG,PPD TEMERLOH,SMK,CEA7068,SEKOLAH MENENGAH KEBANGSAAN BUKIT DAMAR,JALAN FELDA BUKIT DAMAR,28500,LANCHANG,092805113,092805237,CEA7068@moe.edu.my,Luar Bandar,354,41,TIADA,ADA,102.129,3.53322
PAHANG,PPD TEMERLOH,SMK,CEA7069,SEKOLAH MENENGAH KEBANGSAAN TEMERLOH JAYA,TAMAN TEMERLOH JAYA,28000,TEMERLOH,092901420,092901421,CEA7069@moe.edu.my,Bandar,623,80,ADA,ADA,102.395,3.44508
PAHANG,PPD TEMERLOH,SMK,CEA7070,SEKOLAH MENENGAH KEBANGSAAN PAYA PULAI,KM 11 JALAN MARAN,28000,TEMERLOH,092986833,092986494,CEA7070@moe.edu.my,Luar Bandar,462,49,ADA,ADA,102.498,3.47472
PAHANG,PPD TEMERLOH,SMK,CEA7071,SEKOLAH MENENGAH KEBANGSAAN TELUK SENTANG,JALAN SEBERANG TEMERLOH,28000,TEMERLOH,01165731303,092792026,CEA7071@moe.edu.my,Luar Bandar,305,39,TIADA,ADA,102.442,3.55412
PAHANG,PPD TEMERLOH,SMK,CEA7072,SEKOLAH MENENGAH KEBANGSAAN BUKIT CERMIN,JALAN MENTAKAB,28400,MENTAKAB,092771802,092771801,CEA7072@moe.edu.my,Bandar,309,41,ADA,ADA,102.3602018,3.465793058
PAHANG,PPD TEMERLOH,SMK,CEA7073,SEKOLAH MENENGAH KEBANGSAAN LANCHANG,LANCHANG,28500,LANCHANG,092805236,092803630,CEA7073@moe.edu.my,Luar Bandar,453,51,ADA,ADA,102.186,3.50474
PAHANG,PPD TEMERLOH,SMK,CEA7160,SEKOLAH MENENGAH KEBANGSAAN SEBERANG TEMERLOH,JALAN MARAN,28000,TEMERLOH,092972379,092972711,CEA7160@moe.edu.my,Bandar,770,60,TIADA,ADA,102.447582,3.44929
PAHANG,PPD ROMPIN,SMK,CEA8017,SEKOLAH MENENGAH KEBANGSAAN ROMPIN,JALAN TUAN SYED OTHMAN,26800,KUALA ROMPIN,094145228,094142075,CEA8017@moe.edu.my,Luar Bandar,674,84,TIADA,ADA,103.485133,2.802353
PAHANG,PPD ROMPIN,SMK,CEA8018,SEKOLAH MENENGAH KEBANGSAAN KERATONG,JALAN SEKOLAH,26900,BANDAR TUN  RAZAK,094457434,094455973,CEA8018@moe.edu.my,Bandar,581,56,ADA,ADA,102.8808044,2.903989175
PAHANG,PPD ROMPIN,SMK,CEA8019,SEKOLAH MENENGAH KEBANGSAAN TANJUNG GEMOK,KAMPUNG TANJUNG GEMOK,26820,KUALA ROMPIN,094132640,094131749,CEA8019@moe.edu.my,Bandar,892,82,ADA,ADA,103.6017041,2.683061074
PAHANG,PPD ROMPIN,SMK,CEA8020,SEKOLAH MENENGAH KEBANGSAAN PERWIRA JAYA,"WAKIL POS SELANCAR 02, FELDA SELANCAR 02",26700,MUADZAM SHAH,094381109,094381109,CEA8020@moe.edu.my,Luar Bandar,246,29,ADA,ADA,103.0185371,2.623828217
PAHANG,PPD ROMPIN,SMK,CEA8021,SEKOLAH MENENGAH KEBANGSAAN PERANTAU DAMAI,FELDA KERATONG 10,26700,MUADZAM SHAH,094431690,094431295,CEA8021@moe.edu.my,Luar Bandar,513,54,ADA,ADA,102.982,2.97286
PAHANG,PPD ROMPIN,SMK,CEA8022,SEKOLAH MENENGAH KEBANGSAAN TEKEK,"KG. TEKEK, PULAU TIOMAN",26800,KUALA ROMPIN,094191129,094191378,CEA8022@moe.edu.my,Luar Bandar,157,24,ADA,ADA,104.1579888,2.817299052
PAHANG,PPD ROMPIN,SMK,CEA8023,SEKOLAH MENENGAH KEBANGSAAN CHANIS,JALAN SIMPANG CHANIS,26700,MUADZAM SHAH,094471015,094471501,CEA8023@moe.edu.my,Luar Bandar,285,40,ADA,ADA,102.98,2.85456
PAHANG,PPD ROMPIN,SMK,CEA8024,SEKOLAH MENENGAH KEBANGSAAN BANDAR TUN RAZAK,JALAN SEKOLAH  FELDA KERATONG 4,26900,BANDAR TUN RAZAK,094456551,094455649,CEA8024@moe.edu.my,Bandar,575,55,ADA,ADA,102.896,2.89711
PAHANG,PPD ROMPIN,SMK,CEA8025,SEKOLAH MENENGAH KEBANGSAAN SERI ROMPIN,KM 20 JLN ROMPIN-PEKAN,26810,KUALA ROMPIN,01165732399,TIADA,CEA8025@moe.edu.my,Luar Bandar,316,53,TIADA,ADA,103.4186513,2.927279788
